题号,维度,档位,judge分,标注分,judge理由摘要,标注理由摘要
D3-A01,D3,差,0,0,作答完全偏离题目要求，只是空泛表态，未对任何任务给出工具选型、理由或验证方案，因此未触及评分要点。,作答仅空泛表态要学习提升，未为任何任务选择具体AI工具、说明选型理由或验证方式，完全未触及题目要求。
D3-A02,D3,优,4,4,作答完整覆盖所有评分要点，不仅原理与场景准确，还深入区分联网与本地RAG差异并强调检索质量与来源核验，结合具体场景详细说明，达到优秀水平。,作答全面准确地覆盖了原理、必须场景、已解决与未解决问题，并结合差旅报销场景详实说明了检索增强的作用与局限。
D3-A03,D3,跑题,0,0,作答内容为生活散文，与题目要求的API成本优化方案完全无关，未触及任何评分要点。,作答内容为日常随笔，完全未涉及题目要求的API成本优化方案及任何评分要点。
D3-A05,D3,优,4,4,作答环节完整、人机分工明确、质控点具体、得失分析有成本估算并体现流程沉淀，完全符合4档要求。,环节完整、工具与人机分工明确、质量控制点全面且把关方式具体、得失分析客观，完全符合题目要求。
D3-A06,D3,跑题,0,0,作答内容为一篇生活散文，未回应AI使用规范起草任务，未触及任何评分要点。,作答为与题目完全无关的散文，未触及AI使用规范任何要求。
D3-A07,D3,差,0,0,学员作答仅停留在原则性套话层面，未涉及任何评分要点，属于未触及问题的实质性内容。,作答仅空泛表态，未区分三者适用场景与局限，也没有给出典型任务或竞品调研的组合使用。
D3-A08,D3,中,2,2,学员在质量评估和试点验证上有可落地的量化指标与决策标准，但成本测算与版权伦理风险基本缺失，未达到四要素齐备的3分，故评2分。,质量与试点设计较具体可操作，但成本测算和版权伦理风险仅一笔带过，未达到完整评估框架要求。
D3-A09,D3,优,4,4,作答完整覆盖四个评分要点，并额外考虑了数据缺失、口径变更等异常路径及月度复用模板化沉淀，达到4分标准。,作答完整覆盖工具链闭环、口径前置控制、数值与解读双重校验、多级人审与留痕发布，方案具体且责任明确，符合所有评分要点。
D4-A01,D4,中,2,2,覆盖六类且方法具体可操作，但处置笼统且未体现分级与场景差异，因此评为2分。,覆盖六类且检查方法较具体，但每项处置均仅“修改或重做”未体现分级，可复用性说明过于笼统。
D4-A02,D4,差,0,0,作答为套话，完全未触及题目要求的定性、依据、处理方式及延伸认识，因此评为0分。,学员作答完全未触及题目要求，未指出虚构引用和数据过时两类问题、判断依据及处理方式，仅为空泛表态。
D4-A03,D4,优,4,4,学员作答完整覆盖四层框架、抽查/全查依据、量化判定规则与限时执行流程，并体现按错误代价分配核查资源和落地为修改指令的风控思维，达到4档。,作答完整构建了事实、逻辑、立场、表达四层框架，指标与方法匹配且明确抽查/全查/交叉验证的选择依据，给出了量化的采用/修改/退回判定规则，并具备有限时间内的可执行
D4-A05,D4,优,4,4,作答完整覆盖技术原理、代价不对称、角色边界与可落地的机制设计，并进一步形成分级阈值、证据组合、源头降动机的治理思路，达到4档。,学员作答完整覆盖全部评分要点，准确阐释技术误判来源、不对称代价与角色边界，并提出兼顾公平与效率的具体机制。
D4-A06,D4,差,0,0,作答完全脱离任务，只有空泛表态，未回答任何评分要点。,作答仅停留在抽象口号，未构建任何分级体系、使用方式、冲突规则或演示，完全未触及题目要求。
D4-A07,D4,差,0,0,该作答只是泛泛强调学习、认识和作风，未触及任何心理学概念或具体核查设计，属于未作答题目要求。,作答未涉及认知心理学概念、场景放大分析、可落地核查习惯或流程化论证，仅以空泛套话回应题目要求。
D4-A08,D4,差,0,0,作答未针对题目要求设计任何具体工作法，只空谈态度，符合0分锚点。,作答仅泛泛表态，完全未涉及多模型交叉验证的具体设计，未回答任何评分要点。
D4-A09,D4,优,4,4,作答四项齐备并在风险分级、过程证据与申诉制度衔接上达到4分标准，仅缺少更直接的对抗性演化点题。,作答完整覆盖所有评分要点，原理与误判来源分析准确，水印现状局限阐述清晰，多方协同论证充分，使用边界建议具体可执行。
D5-A01,D5,优,4,4,该作答完整覆盖拆解、分工、检查点与预案四要点，分工依据清晰，检查点与质量关卡具体且分级从严，依赖关系和冻结缓冲体现管理思维，达到4档。,作答子任务拆解全面且粒度适中，人机分工依据风险高低、判断复杂度和标准明确度说明充分，检查点时间节点具体、检查内容明确，质量关卡设有清晰放行标准与可行的回退预案，
D5-A02,D5,优,3,4,作答完整覆盖三维度及贴切例子，冲突权衡规则明确且有优先级，框架可迁移，但缺少信任积累下动态分级授权的说明，故评3分。,三维度界定准确，正反例贴切且逻辑一致，冲突权衡规则明确且框架具备可迁移性，完全符合评分要点。
D5-A03,D5,中,2,2,作答具备基线与指标、隐性成本等核心要素，但偏差控制薄弱且缺关键偏差防范设计，未达实验可实际执行程度，故评2分。,作答覆盖了基线与指标测量、隐性成本等基本要素，但偏差控制仅笼统提及统一要求，未具体说明如何通过轮换顺序、盲评或难度分层避免练习效应与主观性偏差，故评为基本达标。
D5-A05,D5,中,3,4,学员作答覆盖三个以上缺失环节并给出具体改进，规范含分工、核查、披露、留痕等可检查条款，符合3分，但未深入本质且无监督例外机制，故未达4分。,准确识别至少三个缺失环节并给出具体改进方案，协作规范包含分工、核查、披露留痕且可执行，并点明人主导责任，完整覆盖评分要点。
D5-A06,D5,跑题,0,0,作答完全偏离题目要求，未触及任何评分要点。,作答内容为一段与问题完全无关的散文，未触及题目要求的任何要素。
D5-A07,D5,差,0,0,学员仅给出空泛的口号式表述，未形成任何可检查的治理规范，属于未触及。,作答仅含套话口号，未起草任何具体条款，完全未触及题目要求的可检查制度内容。
D5-A08,D5,跑题,0,0,学员作答是一段生活散文，完全未回应题目要求，因此评为0分。,作答内容为个人生活场景描写，完全未涉及题目所问的多轮迭代策略、归因价值、回退判断或停机条件，属于完全偏离。
D5-A09,D5,中,2,2,该作答在编号、变更记录和基线与回退上清晰可落地，但冻结交接与价值成本分析不完整，整体未达3分标准。,前三部分版本、变更、基线与回退较完整，但冻结交接和成本价值说明过于笼统，未明确防漂移措施、交接记录及三个目标关系。
D6-A01,D6,中,1,1,五类风险覆盖且检查动作较具体，但典型场景全部缺失、红线全部泛化，未达到2分的场景真实与红线明确要求，符合1分档特征。,五类风险虽覆盖且部分检查动作具体，但典型场景均为空泛表述、红线均笼统为“不得违反法律法规和校规”，未达到基本达标要求。
D6-A02,D6,差,0,0,作答仅停留在空泛表态，未触及任何具体评分要点，完全不符合题目要求。,作答仅停留在空洞的防范表态，未说明任何深伪形式、识别线索、核实流程或处置举报途径，完全未触及题目要求。
D6-A03,D6,差,0,0,作答仅以空泛套话倡导依法办事，未触及任何评分要点，属于未针对题目进行分析。,作答未触及题目要求的责任分析、抗辩教训或预防措施，仅泛泛而谈法治意识，未结合案例。
D6-A05,D6,优,4,4,作答完整覆盖三层面各两条可执行措施，效果与难点分析深入，平衡论述体现分级分类、事前告知、程序正义与动态修订机制，达到4分水平。,作答完整覆盖制度、技术、教育三层面各两条可执行措施，每条均含具体动作、责任方、预期效果与落实难点，平衡论述提出分级分类、事前告知、安全沙盒和动态修订机制，内容全
D6-A06,D6,差,0,0,作答仅为空洞口号式表态，未触及案例中任何法律分析与整改要求，属于未触及。,作答仅空泛表态，未分析候选人主张路径、部署者与供应商责任或给出可落地整改清单，完全未触及题目要求。
D6-A07,D6,跑题,0,0,学员作答与合规评估任务完全无关，仅描述生活场景，未触及任何评分要点，因此评为0分。,作答为生活随笔，完全未涉及题目要求的合规评估流程。
D6-A08,D6,中,2,2,作答对训练与生成两层区分及独创性贡献判断较为准确，但商用风险防控动作未具体展开、法域差异意识表述笼统，故评为2分。,前两点区分与独创性分析较清晰，但第三点完全未展开三个防控动作及对应风险，第四点法域差异表述笼统，未达系统论述要求。
D6-A09,D6,中,2,2,任务拆解和三层建议较好，但岗位演变预测和能力要求明显薄弱，未达到四项齐备的3分标准。,任务拆解具体且建议可执行，但岗位演变预测和能力要求部分过于笼统，未充分展开。
D1-A01,D1,跑题,0,0,作答完全偏离题目要求，未涉及大模型幻觉的任何内容。,作答仅描述清晨街景，完全未涉及大语言模型幻觉的机理、诱因或缓解手段，未触及题目要求。
D1-A02,D1,优,4,4,作答完整覆盖三种方式各维度比较与优先提示词工程的判据，并体现层级可叠加思路，达到优秀等级。,作答全面准确覆盖机理层级、成本数据、灵活性、典型场景及优先提示工程判据，内容详尽且逻辑清晰。
